"","cal_dt","cluster","sess"
"907","2016-01-25","2",551615
"908","2016-02-05","2",483599
"909","2016-09-25","2",560497
"910","2016-04-30","2",492145
"911","2016-01-10","2",738702
"912","2016-07-04","2",477757
"913","2016-03-08","2",527684
"914","2016-05-02","2",512322
"915","2016-01-06","2",655972
"916","2016-01-29","2",485833
"917","2016-04-03","2",643705
"918","2016-07-08","2",403144
"919","2016-10-09","2",659729
"920","2016-03-12","2",543894
"921","2016-10-05","2",482670
"922","2016-03-27","2",578591
"923","2016-06-24","2",404998
"924","2016-08-26","2",375294
"925","2016-04-11","2",520292
"926","2016-03-31","2",520715
"927","2016-09-06","2",447247
"928","2016-06-09","2",431177
"929","2016-05-25","2",421630
